ID,Area,City,Restaurant,Demand,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,Delivery Status
211,Koramangala,Bangalore,Tandoor Hut,Low,300,4.4,100,"Biryani,Chinese,North Indian,South Indian",5Th Block,59,Delayed
221,Koramangala,Bangalore,Tunday Kababi,Low,300,4.1,100,"Mughlai,Lucknowi",5Th Block,56,Delayed
246,Jogupalya,Bangalore,Kim Lee,Low,650,4.4,100,Chinese,Double Road,50,Delayed
248,Indiranagar,Bangalore,New Punjabi Hotel,High,250,3.9,500,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road,57,Delayed
249,Indiranagar,Bangalore,Nh8,Low,350,4,50,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",80 Feet Road,63,Delayed
254,Indiranagar,Bangalore,Treat,Low,800,4.5,100,"Mughlai,North Indian",100 Feet Road,56,Delayed
258,Indiranagar,Bangalore,Chinita Real Mexican Food,High,1000,4.5,500,"Mexican,Beverages,Salads",Double Road,53,Delayed
263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,Low,150,4.3,100,"Desserts,British,Bakery,Pizzas,Snacks",4Th Block,57,Delayed
267,Domlur,Bangalore,Tea Brew,Low,350,4.1,100,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road,57,Delayed
308,Koramangala,Bangalore,Bangaliana,High,300,4,500,Bengali,7Th Block,57,Delayed
435,Koramangala,Bangalore,Bamey'S Restro Cafe,Low,400,4.4,100,"Chinese,Thai,Nepalese",5Th Block,56,Delayed
446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,High,250,4.3,500,"North Indian,Chinese",Cooke Town,55,Delayed
453,Pulikeshi Nagar,Bangalore,Chichabas Taj,Low,532,4.2,100,"Mughlai,North Indian,Biryani",Mm Road,54,Delayed
464,Sivanchetti Gardens,Bangalore,Urban Solace,Low,500,2.9,80,"American,Continental",Ulsoor Lake,48,Delayed
504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,Low,150,4.3,100,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",Domlur Layout,59,Delayed
604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,Low,290,4.3,100,"Mughlai,North Indian",7Th Block,52,Delayed
608,Domlur,Bangalore,Kerala Pavilion,Low,300,4.1,100,"Kerala,Seafood",Domlur Layout,55,Delayed
621,Indiranagar,Bangalore,Kitchen Of Joy,Low,250,4.4,100,"Bengali,Fast Food,Chinese",Domlur,55,Delayed
1050,Jayanagar,Bangalore,Nagarjuna Chimney,High,800,4.2,1000,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",3Rd Block,48,Delayed
1299,Film Nagar,Hyderabad,So. The Sky Kitchen,Low,800,2.9,80,"Mughlai,North Indian,Chinese,Thai,Asian",Near Apollo Health City Gate,90,Delayed
1304,Indiranagar,Bangalore,Esplanade,Low,1200,4.3,100,"Mughlai,Bengali",I Indirangar,54,Delayed
1457,Banashankari,Bangalore,Hotel New Karavali,Low,250,3.8,100,"North Indian,Chinese,South Indian",Bsk 1St Stage,53,Delayed
1547,Masab Tank,Hyderabad,Dine Hill,High,400,4.1,500,"Arabian,Biryani,North Indian,Chinese",Ahmed Nagar,49,Delayed
1590,Banjara Hills,Hyderabad,Sarvi Restaurant,High,400,4.1,5000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Road 11,56,Delayed
1593,Banjara Hills,Hyderabad,Sarvi Bakery,Low,250,4.1,100,"Desserts,Fast Food,Bakery",Opposite Care Hospital Road 11 Banjara Hills,58,Delayed
1609,Andheri East,Mumbai,Kung Fu Panda,Low,600,4.3,100,Chinese  Thai  Asian,Marol,58,Delayed
1617,Powai,Mumbai,Kosho,Low,300,4.2,100,"Mughlai,North Indian,Chinese,Seafood,Italian",Chandivali,56,Delayed
1844,Punjagutta,Hyderabad,Chinese Pavilion,High,850,4.3,500,"Chinese,Seafood",Nagarjuna Circle,64,Delayed
1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,Low,1200,4.2,100,"Steakhouse,American",Sri Ram Nagar Colony Banjara Hills,69,Delayed
1874,Indiranagar,Bangalore,Mamagoto,Low,900,4.2,100,"Chinese,Asian,Pan-Asian,Thai,Oriental",Mamagoto,59,Delayed
1884,Powai,Mumbai,Hakka Express,Low,300,4,100,"Chinese,Asian,Thai",Narayan Plaza,48,Delayed
2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,High,200,4.3,500,"British,Italian,Indian,Chinese,South Indian,North Indian,Desserts",1St Stage,57,Delayed
2042,Aundh,Pune,Juice Destination,High,200,4.2,500,"Thalis,North Indian,Punjabi,Beverages",Iti Road Aundh,60,Delayed
2047,Aundh,Pune,Hyderabadi Spice,High,400,4.2,1000,"Biryani,Mughlai,North Indian,Chinese",Parihar Chowk,58,Delayed
2102,Aundh,Pune,Cafe Peterdonuts,Low,400,4.1,50,"Continental,Desserts",Gaikwad Nagar,71,Delayed
2250,Baner,Pune,Karolbaug,Low,750,4.1,50,"Mughlai,North Indian,Chinese,Biryani",Sakal Nagar,72,Delayed
2312,Powai Area,Mumbai,The Punjabi'S Kitchen,High,500,4.4,500,North Indian,Guru Hargobindji Marg  Andheri East,65,Delayed
2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,Low,500,4.1,100,North Indian  South Indian,S P Road,66,Delayed
2348,Kalasiguda,Hyderabad,Bluefox,High,800,4.2,1000,Biryani  North Indian  Chinese  Tandoor,Sd Road,68,Delayed
2516,Aundh,Pune,Taaareef,Low,1100,4.4,100,"Mughlai,North Indian,Seafood,Biryani",Iti Road,67,Delayed
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,High,300,4.2,1000,North Indian  Chinese  Desserts  Continental  South Indian,Sd Road,57,Delayed
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,High,600,4.2,500,"Ice Cream,Beverages,Desserts,Chaat,Italian",New Mla Quarters,37,In Time
2777,Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,High,500,4,1000,Chinese,New Mla Quarters,39,In Time
2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,High,500,4.3,1000,"South Indian,North Indian,Chinese",Himayath Nagar Road,30,In Time
2796,Himayatnagar,Hyderabad,Bluefox,High,800,4.1,1000,"Biryani,North Indian,Chinese,Tandoor",Himayath Nagar Road,36,In Time
2811,Ashok Nagar,Bangalore,Art Of Delight,Low,250,4.6,100,"Ice Cream,Desserts,Beverages",Residency Road,34,In Time
2820,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,Low,300,4.3,50,"Tandoor,Mughlai,North Indian,Kebabs",Kamaraj Road,39,In Time
